track_id,artists,track_name,popularity
5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,73
4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost - Acoustic,55
1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,57
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Can't Help Falling In Love,71
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,82
01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,58
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Say Something,74
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,I'm Yours,80
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,Lucky,74
7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,56
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Give Me Your Forever,74
5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,I Won't Give Up,69
4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,52
0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,62
4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On - Remix,56
1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,Falling in Love at a Coffee Shop,58
6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),56
4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,54
2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,Lucky,68
6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,Photograph,67
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,I'm Yours,75
210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,Demons,63
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Say Something,70
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,93 Million Miles,0
3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Unlonely,0
6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Bella Luna,1
5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Winter Wonderland,0
0dzKBptH2P5j5a0MifBMwM,Jason Mraz,If It Kills Me,0
5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Winter Wonderland,0
2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Winter Wonderland,0
3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Winter Wonderland,0
3ax0rfGb7exLtl02LL08U9,Jason Mraz,Winter Wonderland,0
1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,All I Want For Christmas Is A Real Good Tan,0
3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Party of One,0
0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Party of One,0
6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Party of One,0
62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Lonely This Christmas,0
3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,Throwing Good After Bad,0
1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,This Time Tomorrow,0
0adVktNVJXPZfhQe6B1NO5,KT Tunstall,Lonely This Christmas,0
6sp6Vx3sv2l5qxPfbQkcyt,Eddie Vedder,The Haves,0
1WFVfVjCtbmdIv7j3Fa9iy,Brandi Carlile,When You're Wrong,0
0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,You and Me on the Rock,0
1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,You and Me on the Rock,0
6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,"Speak Your Mind (From the Netflix Series ""We The People"")",0
7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,You and Me on the Rock,0
3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,You and Me on the Rock,0
0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,You and Me on the Rock,0
27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,You and Me on the Rock,0
1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,You and Me on the Rock,0
72xTsTouZ5nBmASX8k1XCW,Highland Peak,Trampoline - Acoustic,46
3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,透明だった世界,61
2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Pieces,60
5JDcQAztvZTIkrWoZihgvC,Ron Pope,A Drop in the Ocean,68
2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,So Far Away - Acoustic,52
6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,The Enemy,62
7lLKxcNeJtDTWVRKHovLEC,Aron Wright,Build It Better,51
25UzeaV47eDT44Fovve6xQ,Chord Overstreet,Sleepwalking in the Rain,0
4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Gravity,67
2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,What's Left of You,57
08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,75
6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,Sky's Still Blue,62
7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,And I Love Her,66
6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,We Can't Stop,64
0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Always Be My Baby,62
3e5yu9MkIvQx17mm7LF6KY,Canyon City,Alone with You,58
6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,65
2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,She Used To Be Mine,67
7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins - Feat. Erin Mccarley,65
0ZwdH0m32I8odedwvspYTh,Tyler Ward,I Don't Wanna Live Forever (Fifty Shades Darker),44
16dkWKIlBsfYTISCVuDs0w,Ron Pope,A Drop In the Ocean,55
3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,Superman (It's Not Easy),70
3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,When the End Comes,57
2E9viCx0hJKNKNThd2MdGQ,Bailey Jehl,You're Still The One,56
0Zf1BPkkFAWGtVHeBwHHz4,Ingrid Michaelson,Light Me Up,56
38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,93 Million Miles,67
2SkJKMfjpYsNv0KWOxiegX,A Great Big World,Kaleidoscope,62
4qCbMMMuEB56kHd4zPE6GD,Eddie Vedder;Nusrat Fateh Ali Khan,The Long Road,45
11TK5KLtLZUdKr1C549bAw,Drew Holcomb & The Neighbors,What Would I Do Without You,64
7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Have It All,65
2kMrCPZ0o5gErBPLCRgoli,Gabrielle Aplin,Heavy Heart,0
5IjTZ1g8KrIuV97N3OQZ0V,Gabrielle Aplin,The House We Never Built,0
3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Society,68
0wf17wsLRwnnfh241GkeH5,Gabrielle Aplin,Please Don't Say You Love Me,0
3322ArxAq7wCSZI4fF77Q0,Gabrielle Aplin,Please Don't Say You Love Me,0
4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Guaranteed,61
